Name,Age,Job,Salary
Ryan Mcdonald,59,Accountant,16300
Vincent Duffy,70,High School Teacher,17100
Elizabeth Wilkerson,49,High School Teacher,11500
William Phillips,51,Dentist,16400
Allison Santana DVM,60,High School Teacher,14800
Cody Orozco,55,Software Engineer,17600
Michelle Wood,30,Software Engineer,9600
Nancy Taylor,58,High School Teacher,13500
Deanna Gomez,36,High School Teacher,6900
Jason Cummings,53,Accountant,13000
Timothy Richardson,59,Software Engineer,17500
Thomas Rivera,58,Accountant,16000
Nathan Douglas,43,Software Engineer,13500
Jessica Jensen,35,Accountant,9100
Megan Kramer,50,High School Teacher,12600
Tina Bell,40,Software Engineer,12100
James Hartman,51,High School Teacher,11400
Michael Foley,49,Dentist,17800
Tanner Rodriguez,41,High School Teacher,9400
Allison Crawford,38,Software Engineer,10000
Jeffery Brooks,53,Software Engineer,15700
Emma Day,46,High School Teacher,11900
Raymond Ruiz,31,Software Engineer,10400
Eric Short,64,Accountant,16300
Becky Franklin,39,Software Engineer,11500
Joshua Phillips,51,Software Engineer,13900
Patricia Jackson,32,High School Teacher,6200
Charles Chen,51,Dentist,16400
Mark Doyle,44,High School Teacher,11300
Daniel Chandler,63,Dentist,20000
Tracy Smith MD,61,High School Teacher,15900
Brian Boyd,59,Dentist,20800
Lindsey Lindsey,34,Dentist,12800
Jill Collins,58,Dentist,19000
Dr. Ryan Barajas,49,Software Engineer,13300
Brianna Parker,40,Software Engineer,11800
Katelyn Williams,58,Dentist,20500
Wanda Holland,48,Dentist,16000
Linda King,31,High School Teacher,6100
Erik Stevens,47,Software Engineer,12700
Robert Carney,58,Dentist,19200
Robert Cox,33,Dentist,12000
Brianna Bernard,41,High School Teacher,8400
Jodi Ramirez,58,Dentist,20000
Nicholas Ward,40,Dentist,13800
Robert Thomas DVM,28,Accountant,6200
Melanie Reyes,59,Dentist,20800
Brenda Brady,70,Accountant,18600
Andrea Mcdonald,43,Accountant,10500
Judith Taylor,43,Dentist,16000
Antonio Wilson,52,Accountant,13400
Steven Allen,43,Dentist,14000
Jesus Johnson,38,High School Teacher,8500
Cody Waters,55,High School Teacher,12100
Carl Franco,30,High School Teacher,4600
Michael Brown,39,Software Engineer,11300
Jennifer Stewart,65,High School Teacher,16100
Molly Griffin MD,28,High School Teacher,6500
Beth Mcmillan,62,Accountant,15200
Robert Dean,54,High School Teacher,12300
David Brown,29,Accountant,5800
Christina Gutierrez,66,Dentist,21900
Sean Jackson,67,Dentist,20700
Phillip Bowman,57,Accountant,14200
Samantha Carroll,39,Accountant,9500
Brian Williams,48,Accountant,11000
Joshua Sullivan,32,Software Engineer,10700
Gordon Wood,49,High School Teacher,12800
Michele Chavez,64,Accountant,15800
Marie Clark,67,Software Engineer,20700
Brian Martinez,60,High School Teacher,14100
Calvin Johnson,29,Dentist,9300
Alison Norman,51,High School Teacher,11900
Dennis Jones,33,Dentist,13000
Charles Johnston,32,Software Engineer,9700
Christopher Stanley,50,High School Teacher,11600
Brenda Norton,36,Software Engineer,9400
Frank Hays,68,High School Teacher,17500
Maria Russo,69,Accountant,17800
Beth Kidd,65,Software Engineer,18100
Laura Hancock,57,Accountant,15200
Alejandro Kelly,50,Software Engineer,15600
Alexis Fuller,41,Dentist,14900
Clinton Herrera,34,Dentist,13300
Dana Rivera,47,High School Teacher,11700
Barbara Mays,36,High School Teacher,7900
Adam Walsh DDS,36,Software Engineer,10600
Tina Ortega,31,High School Teacher,6900
Wayne Floyd,44,Software Engineer,11800
Julie George,44,Dentist,14800
Richard Sexton,45,Dentist,15600
Terry Hale,49,Dentist,16800
Madison Duarte,29,Software Engineer,8500
Megan Bailey,63,Accountant,16000
Carol Alvarez,32,Software Engineer,10200
Kyle Olson,70,Dentist,22600
Donna Miller,45,Accountant,11100
Tonya Kennedy,61,High School Teacher,13900
Kimberly Brown,52,Dentist,18700
Randall Boone,34,High School Teacher,8300
Jamie Smith,50,Software Engineer,15100
Aaron Palmer,67,High School Teacher,17700
Michael Snyder,61,Dentist,21400
Troy Murphy,67,Accountant,19200
Robin Dunn,70,Software Engineer,20600
Matthew Lloyd,38,Software Engineer,10000
Amber Taylor,65,Dentist,21100
Erin Mcgee,61,Software Engineer,18900
Jennifer Cortez,29,Accountant,6500
Shannon Moran,36,Dentist,12600
Phillip Williams,53,High School Teacher,12700
Nancy Wilson,57,High School Teacher,15200
Chad Chase,66,Software Engineer,19900
Taylor French,69,Accountant,19300
Melissa Bryant,46,Software Engineer,13900
Linda Carson,67,High School Teacher,16200
Julie Wilkerson,30,High School Teacher,6600
Timothy Garcia,42,High School Teacher,9200
James Bradford,32,High School Teacher,7700
Craig Harris,43,Accountant,10000
Taylor Johnson,57,High School Teacher,14200
Scott Rodriguez,63,High School Teacher,15000
Kevin Robinson,29,High School Teacher,5300
Michelle Fuller,42,Software Engineer,13200
Pamela Cameron,47,Software Engineer,15200
Michelle Flores,34,Dentist,12000
David Ward,66,Accountant,16400
Michael Torres,53,Accountant,14500
Mrs. Wendy Taylor,52,High School Teacher,11200
Anthony Ray,47,Accountant,11200
Dawn Richardson,40,Software Engineer,11800
Jennifer Francis,38,High School Teacher,9500
Leon Smith,50,Dentist,15600
Tracie David,35,Dentist,12100
Stefanie Bennett,61,Accountant,14900
William Rivas,42,Software Engineer,12200
Angela Taylor,59,Software Engineer,18300
Casey White,35,Software Engineer,9600
Melanie Bowman,63,Dentist,20500
Carolyn Ford,51,Dentist,16900
Brittany Smith,66,Software Engineer,19600
Craig Li,54,Software Engineer,15300
Brian Nguyen,30,Software Engineer,8800
Sarah Zimmerman,28,High School Teacher,5000
Isabel Buchanan,28,Accountant,5000
Heather White,30,Accountant,6600
Katherine Reyes,37,High School Teacher,7200
Sherri Reed,57,Software Engineer,16200
Emily Hernandez,42,High School Teacher,8700
Lindsey Boyd,70,High School Teacher,18600
Kimberly Carlson,28,Dentist,9500
Brian Russell,52,High School Teacher,11200
Dawn Porter,35,Dentist,13600
Mark Cardenas,30,Dentist,11600
Regina Harmon,66,Dentist,21400
Anthony Clark,53,Software Engineer,14500
Michael Silva,49,High School Teacher,12800
Michelle Smith,41,Dentist,13900
Andre Chandler,48,Accountant,12200
Robert Smith,41,Software Engineer,13400
Monica Rodriguez,44,Dentist,15000
Elizabeth Harris,50,Software Engineer,15100
Kevin Cooper,70,Accountant,18100
Nicole Parker,37,Dentist,12200
Eric Fowler,35,Dentist,11600
Laura Armstrong,37,Software Engineer,11700
Eileen Miles,42,Accountant,11700
George Bennett,53,High School Teacher,13500
Jennifer Roberts,44,High School Teacher,9300
Joanna Briggs,51,Software Engineer,15900
Kyle Rich,39,Software Engineer,12800
Brandon Weaver,70,High School Teacher,17600
April Robinson,67,Software Engineer,21200
Alexandra Clark,54,Accountant,13800
Kevin Knapp,37,Accountant,9700
Christina Green,28,Dentist,9500
Michelle Dougherty,36,High School Teacher,7900
Stacey Barajas,59,Accountant,14300
Steven Smith,36,Accountant,7900
Mr. Kevin Hoffman MD,66,High School Teacher,17400
Justin Wade,63,Dentist,20500
Nicholas Garcia,68,Software Engineer,20000
Katherine Lopez,66,High School Teacher,15400
Haley Morgan,34,Dentist,12800
Krista Wilson,34,Software Engineer,9800
Patricia Brown,33,Software Engineer,9700
John Garcia,47,High School Teacher,9700
Krystal Lloyd,57,Software Engineer,15700
Amanda Parker,58,Accountant,15500
John Brown,31,Dentist,11400
Deborah Rowe,35,Software Engineer,10100
John Jackson,55,High School Teacher,12100
Jennifer Martinez,33,Dentist,11500
Mark Wiggins,47,Software Engineer,14200
Nicole Dorsey,66,High School Teacher,17400
Frank Leblanc,60,Dentist,18600
Tom Durham,43,Accountant,10000
Tim Crane,47,Accountant,11200
Jessica Glass,29,Dentist,9800
Dr. Deanna Smith,49,Accountant,13800
Anthony Roberts,53,Software Engineer,14500
Martin Foster,63,Dentist,21000
Steven Stephens,57,Accountant,15200
Matthew Howard,51,Accountant,13400
Donald Graham,67,Software Engineer,20700
Megan Harris,64,Accountant,17000
Ronald Smith,51,Software Engineer,14400
Juan Dillon,48,Accountant,12500
Benjamin Freeman,47,Software Engineer,13900
Alice Paul,43,High School Teacher,9700
Richard Swanson,47,High School Teacher,10200
Roy Estrada,29,Software Engineer,7800
Richard Kirby Jr.,37,Accountant,8900
John Martinez,47,Software Engineer,14200
Brittany Clayton,65,Software Engineer,19600
Jennifer Henson,61,Dentist,18900
Evan Gibson,29,Accountant,5800
Michael Maxwell,39,Software Engineer,11800
Victoria Boone,33,Dentist,12000
Annette Woods,32,Software Engineer,8200
Angela Garcia,63,High School Teacher,14500
Vincent Glover,57,Software Engineer,15700
Christopher Richardson,57,Accountant,16200
Dr. Patricia House,55,High School Teacher,13600
Theresa Snyder,50,Dentist,18100
Aaron Nielsen,32,Software Engineer,10200
Dr. Mark Christian,60,High School Teacher,15600
Gary Padilla,66,Software Engineer,19400
Samantha Moon,28,Dentist,10500
David Woods MD,47,Dentist,14700
Laurie Davis,41,Dentist,15400
Lisa Carroll,60,High School Teacher,14600
Kelsey Richards,35,Dentist,12100
Jennifer Jacobs,57,Accountant,14900
George Charles,43,Dentist,15500
Holly Harris,38,High School Teacher,7000
Olivia Stewart,62,High School Teacher,15700
Patrick Good,33,Accountant,7700
Rickey Reyes,68,Dentist,22500
Jennifer Grimes,33,Dentist,11500
Anthony Murphy,36,Software Engineer,9900
Kristen Barber,49,Dentist,16300
Roberto Bryan,29,High School Teacher,4300
Mary Valentine,45,Accountant,12600
Melissa Cole,29,Software Engineer,7800
Jesse Pruitt,35,Accountant,8100
Candice Mills,30,Software Engineer,8100
Charles Rodriguez,48,High School Teacher,11000
Donald Mcclain,32,High School Teacher,6700
Connie Soto,43,Dentist,15000
Shannon Hancock II,34,Accountant,8000
Kathleen Stone,66,High School Teacher,15900
Christina Watkins,54,Accountant,12800
Megan Pham,53,Accountant,13700
Tabitha Robinson,56,Software Engineer,17900
Sarah Ellis,54,High School Teacher,12300
Alisha Johns,34,High School Teacher,6300
Joseph Bennett,63,Software Engineer,18500
Jennifer Jackson,65,Accountant,17300
Robert Hicks,43,High School Teacher,9000
Barbara Daniel,40,High School Teacher,8100
Corey Stanton,56,High School Teacher,12900
Amy Owens,49,Dentist,16500
Danielle Maxwell,40,Software Engineer,11800
Allison Meadows,34,High School Teacher,7800
Amanda Stuart,60,High School Teacher,15100
Anthony Cox MD,40,Software Engineer,10600
Thomas Mason,56,Software Engineer,15400
Mark Ball,39,Dentist,13300
Kathryn Torres,34,Software Engineer,9800
Sara Martinez,29,Dentist,9300
Kelly Holmes,64,Accountant,17800
Michelle Rivera,33,Accountant,7500
Jennifer Goodman,30,High School Teacher,5100
Brian Owens,35,Software Engineer,11100
Victoria Buckley,31,High School Teacher,6900
Trevor Martinez,63,Software Engineer,19000
Katherine Crawford,56,Software Engineer,16600
Mr. Austin Anderson,49,Dentist,16500
Emily Brown,51,High School Teacher,10900
Brandon Carter,53,Software Engineer,15700
Heather Garcia,52,High School Teacher,11700
William Nichols,43,Dentist,14700
Katherine Dominguez,52,Accountant,13200
Samantha Johnson,68,Dentist,22500
Adam Owens,43,Dentist,14000
Dennis Hughes,44,Accountant,11000
Valerie Webb,46,Accountant,12400
Lisa Smith,29,Software Engineer,8500
Greg Dunlap,55,High School Teacher,13300
Andrew Lyons,28,High School Teacher,5200
Tanner Thompson,39,Dentist,14300
Michael Fleming,45,Accountant,11600
Victoria Douglas,32,Dentist,11700
Matthew Lucas,38,Accountant,8500
Amanda Carpenter,55,High School Teacher,12600
Troy Atkins,63,Dentist,21000
Lauren Moss,52,Accountant,13200
Ashley Osborn,40,Dentist,12600
Jack Marshall,38,Software Engineer,10500
Robert Miller,50,High School Teacher,11600
Tim Smith,43,Dentist,16000
Amanda Rodriguez,28,Accountant,6000
Russell Miller,63,Software Engineer,18500
Briana Huff,31,High School Teacher,6400
Shelby Jackson,34,Accountant,9300
James Allen,39,High School Teacher,7300
Zachary Garcia,59,High School Teacher,15800
Edwin Walker,61,Accountant,16100
Kenneth Garcia,45,Dentist,16600
Jonathan Johnson,66,High School Teacher,16400
Nicole Wright,46,Dentist,15600
Sarah Hill,31,Dentist,11400
Matthew Pena,29,Dentist,10300
Robert Keith,67,High School Teacher,17200
Lisa Blair,55,Software Engineer,17600
Jason Hernandez,52,High School Teacher,12200
Richard Serrano,36,Dentist,12900
Christina Clayton,69,Software Engineer,20300
Jordan Smith,58,Software Engineer,17000
Matthew Cox,60,Dentist,19600
Dale Gutierrez,31,Accountant,6900
Melissa Lopez,68,Software Engineer,21500
Laurie Brooks,42,Dentist,14700
Debra Thompson,30,Dentist,10600
Robert Montgomery,64,Hig
